name,method,quality
bing_cake_547,0,0
bing_cake_55,4,1
bing_cake_551,2,0.5
bing_cake_553,0,0
bing_cake_554,0,0
bing_cake_556,3,1
bing_cake_559,4,1
bing_cake_561,0,0
bing_cake_563,0,0
bing_cake_573,0,0
bing_cake_574,0,0
bing_cake_580,0,0
bing_cake_584,0,0
bing_cake_588,0,0
bing_cake_590,1,0.5
bing_cake_592,0,0
bing_cake_593,1,1
bing_cake_595,1,1
bing_cake_597,0,0
bing_cake_599,1,0.5
bing_cake_602,1,0.5
bing_cake_604,0,0
bing_cake_607,1,0.5
bing_cake_61,4,1
bing_cake_612,2,0.5
bing_cake_613,2,0.5
bing_cake_614,2,1
bing_cake_618,1,0.5
bing_cake_62,0,0
bing_cake_622,0,0
bing_cake_624,0,0
bing_cake_625,0,0
bing_cake_627,1,1
bing_cake_63,0,0
bing_cake_632,0,0
bing_cake_634,1,0.5
bing_cake_635,0,0
bing_cake_638,1,1
bing_cake_643,4,0.5
bing_cake_657,0,0
bing_cake_666,1,1
bing_cake_669,1,1
bing_cake_670,1,0.5
bing_cake_673,0,0
bing_cake_674,1,0.5
bing_cake_676,0,0
bing_cake_681,0,0
bing_cake_685,1,0.5
bing_cake_686,0,0
bing_cake_687,4,0.5
bing_cake_688,1,1
bing_cake_69,0,0
bing_cake_690,1,0.5
bing_cake_691,0,0
bing_cake_694,3,1
bing_cake_70,2,0.5
bing_cake_704,0,0
bing_cake_706,0,0
bing_cake_707,1,0.5
bing_cake_708,0,0
bing_cake_709,1,0.5
bing_cake_71,1,0.5
bing_cake_713,0,0
bing_cake_714,1,0.5
bing_cake_721,0,0
bing_cake_725,0,0
bing_cake_726,2,0.5
bing_cake_727,0,0
bing_cake_732,2,0.5
bing_cake_739,1,1
bing_cake_757,0,0
bing_cake_768,0,0
bing_cake_772,0,0
bing_cake_8,0,0
bing_cake_87,1,1
bing_cake_90,0,0
bing_cake_95,2,1
bing_canvas_1,2,0.5
bing_canvas_10,1,1
bing_canvas_100,3,1
bing_canvas_101,3,1
bing_canvas_102,1,1
bing_canvas_103,4,0.5
bing_canvas_104,2,0.5
bing_canvas_105,3,1
bing_canvas_107,3,1
bing_canvas_108,3,1
bing_canvas_109,1,1
bing_canvas_11,1,0.5
bing_canvas_110,1,0.5
bing_canvas_111,2,0.5
bing_canvas_112,2,0.5
bing_canvas_113,3,0.5
bing_canvas_114,1,1
bing_canvas_115,1,0.5
bing_canvas_12,1,0.5
bing_canvas_123,1,1
bing_canvas_124,3,1
bing_canvas_125,1,0.5
bing_canvas_127,0,0
bing_canvas_128,1,1
bing_canvas_130,0,0
bing_canvas_131,0,0
bing_canvas_132,0,0
bing_canvas_133,1,0.5
bing_canvas_134,3,0.5
bing_canvas_135,3,0.5
bing_canvas_136,3,1
bing_canvas_138,1,1
bing_canvas_139,1,1
bing_canvas_14,1,1
bing_canvas_140,1,1
bing_canvas_142,1,1
bing_canvas_145,1,0.5
bing_canvas_146,1,0.5
bing_canvas_149,2,0.5
bing_canvas_15,0,0
bing_canvas_150,3,1
bing_canvas_151,1,1
bing_canvas_153,1,1
bing_canvas_154,1,0.5
bing_canvas_156,4,1
bing_canvas_16,2,0.5
bing_canvas_166,1,1
bing_canvas_17,1,1
bing_canvas_172,1,1
bing_canvas_174,1,1
bing_canvas_175,3,1
bing_canvas_176,2,0.5
bing_canvas_177,1,0.5
bing_canvas_178,1,0.5
bing_canvas_179,1,0.5
bing_canvas_18,1,0.5
bing_canvas_181,1,1
bing_canvas_183,2,0.5
bing_canvas_185,1,1
bing_canvas_186,1,1
bing_canvas_188,1,1
bing_canvas_189,1,0.5
bing_canvas_19,1,0.5
bing_canvas_190,1,1
bing_canvas_191,2,0.5
bing_canvas_194,1,1
bing_canvas_195,1,1
bing_canvas_197,1,0.5
bing_canvas_198,3,1
bing_canvas_199,1,1
bing_canvas_2,0,0
bing_canvas_20,1,1
bing_canvas_200,2,1
bing_canvas_201,1,1
bing_canvas_202,1,1
bing_canvas_203,1,1
bing_canvas_204,1,1
bing_canvas_205,1,0.5
bing_canvas_206,3,0.5
bing_canvas_207,1,1
bing_canvas_215,3,1
bing_canvas_217,2,1
bing_canvas_22,2,0.5
bing_canvas_228,2,0.5
bing_canvas_229,2,0.5
bing_canvas_23,4,1
bing_canvas_230,3,1
bing_canvas_231,1,0.5
bing_canvas_233,0,0
bing_canvas_234,1,1
bing_canvas_236,2,1
bing_canvas_24,1,1
bing_canvas_240,1,1
bing_canvas_241,3,0.5
bing_canvas_242,0,0
bing_canvas_243,0,0
bing_canvas_245,1,0.5
bing_canvas_246,1,1
bing_canvas_247,1,1
bing_canvas_248,1,1
bing_canvas_249,1,0.5
bing_canvas_250,0,0
bing_canvas_251,1,0.5
bing_canvas_252,1,1
bing_canvas_254,3,1
bing_canvas_255,1,1
bing_canvas_264,1,1
bing_canvas_266,1,1
bing_canvas_273,2,0.5
bing_canvas_274,1,1
bing_canvas_276,1,0.5
bing_canvas_277,4,1
bing_canvas_28,0,0
bing_canvas_280,4,0.5
bing_canvas_281,1,1
bing_canvas_282,1,1
bing_canvas_283,3,0.5
bing_canvas_284,1,0.5
bing_canvas_285,1,1
bing_canvas_287,0,0
bing_canvas_289,0,0
bing_canvas_29,0,0
bing_canvas_290,0,0
bing_canvas_292,1,1
bing_canvas_294,1,1
bing_canvas_295,1,0.5
bing_canvas_298,1,0.5
bing_canvas_299,1,0.5
bing_canvas_3,1,1
bing_canvas_300,2,0.5
bing_canvas_301,3,0.5
bing_canvas_309,1,1
bing_canvas_31,1,1
bing_canvas_311,1,1
bing_canvas_313,1,1
bing_canvas_314,1,1
bing_canvas_315,1,1
bing_canvas_316,1,0.5
bing_canvas_317,1,1
bing_canvas_319,1,1
bing_canvas_32,2,0.5
bing_canvas_320,1,0.5
bing_canvas_321,1,1
bing_canvas_323,1,1
bing_canvas_324,1,0.5
bing_canvas_326,1,0.5
bing_canvas_328,1,1
bing_canvas_33,1,1
bing_canvas_330,1,1
bing_canvas_332,1,0.5
bing_canvas_333,1,0.5
bing_canvas_334,2,0.5
bing_canvas_335,1,1
bing_canvas_337,3,1
bing_canvas_34,1,1
bing_canvas_345,3,1
bing_canvas_346,1,1
bing_canvas_354,2,1
bing_canvas_355,2,1
bing_canvas_356,0,0
bing_canvas_357,1,0.5
bing_canvas_358,1,1
bing_canvas_359,1,1
bing_canvas_361,2,0.5
bing_canvas_362,4,0.5
bing_canvas_363,0,0
bing_canvas_364,1,1
bing_canvas_366,1,0.5
bing_canvas_368,4,0.5
bing_canvas_370,1,1
bing_canvas_373,1,1
bing_canvas_375,4,0.5
bing_canvas_377,1,0.5
bing_canvas_379,4,0.5
bing_canvas_38,2,1
bing_canvas_382,1,0.5
bing_canvas_383,4,0
bing_canvas_384,3,1
bing_canvas_386,1,1
bing_canvas_387,1,1
bing_canvas_388,1,1
bing_canvas_389,0,0
bing_canvas_39,1,1
bing_canvas_390,0,0
bing_canvas_391,1,1
bing_canvas_392,1,0.5
bing_canvas_393,1,1
bing_canvas_399,3,0.5
bing_canvas_4,1,1
bing_canvas_40,1,0.5
bing_canvas_401,3,1
bing_canvas_402,1,1
bing_canvas_403,1,0.5
bing_canvas_404,1,0.5
bing_canvas_405,1,0.5
bing_canvas_407,2,1
bing_canvas_408,1,1
bing_canvas_409,1,1
bing_canvas_41,1,0.5
bing_canvas_410,1,1
bing_canvas_412,3,1
bing_canvas_413,3,0.5
bing_canvas_415,1,1
bing_canvas_416,2,0.5
bing_canvas_417,1,1
bing_canvas_419,1,1
bing_canvas_422,2,0.5
bing_canvas_423,1,1
bing_canvas_425,2,1
bing_canvas_426,1,1
bing_canvas_428,1,0.5
bing_canvas_43,1,0.5
bing_canvas_430,1,1
bing_canvas_433,1,0.5
bing_canvas_435,1,1
bing_canvas_436,2,0.5
bing_canvas_44,1,0.5
bing_canvas_443,1,0.5
bing_canvas_445,3,0.5
bing_canvas_45,1,1
bing_canvas_453,1,1
bing_canvas_455,1,0.5
bing_canvas_456,1,0.5
bing_canvas_458,3,1
bing_canvas_46,1,0.5
bing_canvas_460,1,0.5
bing_canvas_461,3,0.5
bing_canvas_463,1,1
bing_canvas_465,0,0
bing_canvas_466,4,0.5
bing_canvas_467,1,1
bing_canvas_468,1,1
bing_canvas_469,1,1
bing_canvas_47,1,1
bing_canvas_470,3,1
bing_canvas_471,1,0.5
bing_canvas_472,2,0.5
bing_canvas_474,3,1
bing_canvas_476,0,0
bing_canvas_477,0,0
bing_canvas_478,1,1
bing_canvas_479,3,1
bing_canvas_48,1,1
bing_canvas_480,1,1
bing_canvas_481,1,1
bing_canvas_482,1,1
bing_canvas_483,1,1
bing_canvas_484,3,1
bing_canvas_485,1,1
bing_canvas_486,1,1
bing_canvas_487,3,1
bing_canvas_488,3,1
bing_canvas_489,1,1
bing_canvas_49,3,0.5
bing_canvas_491,1,1
bing_canvas_492,1,0.5
bing_canvas_493,1,1
bing_canvas_494,1,1
bing_canvas_495,1,1
bing_canvas_496,1,0.5
bing_canvas_497,1,1
bing_canvas_498,1,0.5
bing_canvas_499,2,0.5
bing_canvas_5,1,1
bing_canvas_50,1,1
bing_canvas_500,1,1
bing_canvas_501,1,1
bing_canvas_502,0,0
bing_canvas_503,1,1
bing_canvas_504,0,0
bing_canvas_508,1,1
bing_canvas_51,1,1
bing_canvas_52,1,1
bing_canvas_62,1,0.5
bing_canvas_7,1,1
bing_canvas_73,3,0.5
bing_canvas_75,0,0
bing_canvas_77,1,1
bing_canvas_78,1,0.5
bing_canvas_80,3,0.5
bing_canvas_81,1,1
bing_canvas_82,1,1
bing_canvas_83,1,1
bing_canvas_85,0,0
bing_canvas_86,1,1
bing_canvas_88,0,0
bing_canvas_89,1,1
bing_canvas_9,1,1
bing_canvas_94,1,1
bing_canvas_99,3,1
bing_cardboard_1,1,0.5
bing_cardboard_100,2,0.5
bing_cardboard_101,3,0.5
bing_cardboard_102,1,1
bing_cardboard_103,1,1
bing_cardboard_104,1,1
bing_cardboard_105,3,1
bing_cardboard_106,1,0.5
bing_cardboard_107,3,1
bing_cardboard_108,1,1
bing_cardboard_11,1,1
bing_cardboard_111,1,1
bing_cardboard_112,0,0
bing_cardboard_113,1,1
bing_cardboard_114,1,0.5
bing_cardboard_115,1,0.5
bing_cardboard_116,2,0.5
bing_cardboard_117,3,1
bing_cardboard_118,3,1
bing_cardboard_119,1,1
bing_cardboard_12,1,0.5
bing_cardboard_120,2,0.5
bing_cardboard_121,2,0.5
bing_cardboard_122,4,1
bing_cardboard_123,2,1
bing_cardboard_124,1,1
bing_cardboard_125,1,1
bing_cardboard_126,1,0.5
bing_cardboard_127,1,1
bing_cardboard_128,3,1
bing_cardboard_129,1,1
bing_cardboard_13,2,0.5
bing_cardboard_130,1,0.5
bing_cardboard_131,1,1
bing_cardboard_132,1,1
bing_cardboard_134,1,0.5
bing_cardboard_136,1,1
bing_cardboard_138,0,0
bing_cardboard_139,2,1
bing_cardboard_140,2,0.5
bing_cardboard_145,4,1
bing_cardboard_147,3,1
bing_cardboard_148,1,1
bing_cardboard_149,1,0.5
bing_cardboard_151,1,0.5
bing_cardboard_152,1,1
bing_cardboard_153,1,0.5
bing_cardboard_155,1,1
bing_cardboard_156,0,0
bing_cardboard_157,1,1
bing_cardboard_158,1,0.5
bing_cardboard_159,1,0.5
bing_cardboard_161,4,1
bing_cardboard_162,1,0.5
bing_cardboard_163,3,1
bing_cardboard_164,1,1
bing_cardboard_165,1,1
bing_cardboard_166,1,1
bing_cardboard_167,1,0.5
bing_cardboard_169,1,0.5
bing_cardboard_17,1,0.5
bing_cardboard_170,1,1
bing_cardboard_171,3,1
bing_cardboard_174,1,0.5
bing_cardboard_175,3,1
bing_cardboard_176,1,0.5
bing_cardboard_177,2,1
bing_cardboard_179,1,0.5
bing_cardboard_18,1,0.5
bing_cardboard_180,1,0.5
bing_cardboard_182,1,1
bing_cardboard_183,1,0
bing_cardboard_184,3,1
bing_cardboard_185,2,0.5
bing_cardboard_186,4,1
bing_cardboard_187,2,0.5
bing_cardboard_193,1,0.5
bing_cardboard_194,1,0.5
bing_cardboard_195,1,0.5
bing_cardboard_196,1,0.5
bing_cardboard_197,2,0.5
bing_cardboard_198,1,0.5
bing_cardboard_199,1,0.5
bing_cardboard_2,1,1
bing_cardboard_201,1,1
bing_cardboard_202,3,0.5
bing_cardboard_203,1,1
bing_cardboard_204,1,0.5
bing_cardboard_205,3,1
bing_cardboard_206,1,1
bing_cardboard_210,3,1
bing_cardboard_211,3,1
bing_cardboard_212,1,1
bing_cardboard_214,1,0.5
bing_cardboard_218,1,1
bing_cardboard_219,1,0.5
bing_cardboard_22,1,0.5
bing_cardboard_220,1,1
bing_cardboard_222,1,1
bing_cardboard_224,1,1
bing_cardboard_225,1,1
bing_cardboard_227,1,1
bing_cardboard_229,1,1
bing_cardboard_23,0,0
bing_cardboard_230,1,1
bing_cardboard_231,1,0.5
bing_cardboard_243,2,0.5
bing_cardboard_244,3,1
bing_cardboard_245,3,1
bing_cardboard_248,3,1
bing_cardboard_249,1,1
bing_cardboard_254,1,0.5
bing_cardboard_257,1,1
bing_cardboard_260,2,0.5
bing_cardboard_261,1,0.5
bing_cardboard_262,1,0.5
bing_cardboard_263,1,0.5
bing_cardboard_264,1,0.5
bing_cardboard_265,1,0.5
bing_cardboard_268,2,1
bing_cardboard_269,2,0.5
bing_cardboard_27,1,0.5
bing_cardboard_271,1,1
bing_cardboard_272,2,0.5
bing_cardboard_279,1,1
bing_cardboard_28,1,1
bing_cardboard_282,1,0.5
bing_cardboard_283,1,0.5
bing_cardboard_284,3,1
bing_cardboard_286,1,0.5
bing_cardboard_289,1,0.5
bing_cardboard_290,2,0.5
bing_cardboard_291,1,0.5
bing_cardboard_295,1,1
bing_cardboard_297,1,1
bing_cardboard_298,1,1
bing_cardboard_3,1,1
bing_cardboard_30,1,1
bing_cardboard_300,1,1
bing_cardboard_301,3,1
bing_cardboard_303,1,1
bing_cardboard_305,1,0.5
bing_cardboard_306,0,0
bing_cardboard_307,3,1
bing_cardboard_310,1,1
bing_cardboard_311,1,1
bing_cardboard_313,2,0.5
bing_cardboard_314,3,1
bing_cardboard_315,1,1
bing_cardboard_319,1,1
bing_cardboard_320,1,1
bing_cardboard_322,1,1
bing_cardboard_323,1,1
bing_cardboard_328,2,1
bing_cardboard_329,2,0.5
bing_cardboard_33,1,0.5
bing_cardboard_330,2,0.5
bing_cardboard_334,1,0.5
bing_cardboard_339,1,1
bing_cardboard_340,1,0.5
bing_cardboard_341,0,0
bing_cardboard_343,1,0.5
bing_cardboard_345,1,0.5
bing_cardboard_349,1,1
bing_cardboard_357,1,1
bing_cardboard_359,1,1
bing_cardboard_36,2,0.5
bing_cardboard_360,1,0.5
bing_cardboard_361,1,0.5
bing_cardboard_363,1,0.5
bing_cardboard_364,1,1
bing_cardboard_365,1,1
bing_cardboard_367,1,1
bing_cardboard_368,1,0.5
bing_cardboard_369,3,1
bing_cardboard_37,1,1
bing_cardboard_371,0,0
bing_cardboard_372,3,1
bing_cardboard_374,1,1
bing_cardboard_375,1,1
bing_cardboard_376,1,1
bing_cardboard_38,1,0.5
bing_cardboard_380,4,1
bing_cardboard_383,1,1
bing_cardboard_384,1,0.5
bing_cardboard_387,1,1
bing_cardboard_389,1,0.5
bing_cardboard_392,3,1
bing_cardboard_393,2,1
bing_cardboard_394,1,0.5
bing_cardboard_395,0,0
bing_cardboard_398,1,0.5
bing_cardboard_402,1,1
bing_cardboard_403,1,1
bing_cardboard_406,1,0.5
bing_cardboard_411,1,0.5
bing_cardboard_412,1,0.5
bing_cardboard_413,1,0.5
bing_cardboard_422,1,1
bing_cardboard_423,1,1
bing_cardboard_424,1,1
bing_cardboard_427,1,0.5
bing_cardboard_428,3,1
bing_cardboard_429,1,0.5
bing_cardboard_43,1,0.5
bing_cardboard_431,2,0.5
bing_cardboard_432,2,0.5
bing_cardboard_435,1,0.5
bing_cardboard_436,4,1
bing_cardboard_437,1,1
bing_cardboard_44,0,0
bing_cardboard_448,1,1
bing_cardboard_449,0,0
bing_cardboard_451,1,0.5
bing_cardboard_452,1,0.5
bing_cardboard_453,4,1
bing_cardboard_455,1,0.5
bing_cardboard_456,1,1
bing_cardboard_458,1,1
bing_cardboard_460,1,0.5
bing_cardboard_462,4,0.5
bing_cardboard_466,1,0.5
bing_cardboard_468,1,0.5
bing_cardboard_47,0,0
bing_cardboard_471,0,0
bing_cardboard_472,1,0.5
bing_cardboard_474,0,0
bing_cardboard_475,1,1
bing_cardboard_476,1,0.5
bing_cardboard_477,1,0.5
bing_cardboard_478,0,0
bing_cardboard_48,1,1
bing_cardboard_480,3,1
bing_cardboard_482,1,1
bing_cardboard_483,1,0.5
bing_cardboard_485,1,0.5
bing_cardboard_488,1,1
bing_cardboard_493,1,1
bing_cardboard_494,1,0.5
bing_cardboard_496,1,0.5
bing_cardboard_497,0,0
bing_cardboard_5,0,0
bing_cardboard_50,1,1
bing_cardboard_501,0,0
bing_cardboard_505,1,0.5
bing_cardboard_509,2,0.5
bing_cardboard_51,2,1
bing_cardboard_512,1,0.5
bing_cardboard_513,3,0.5
bing_cardboard_515,1,0.5
bing_cardboard_516,1,0.5
bing_cardboard_517,1,0.5
bing_cardboard_519,1,0.5
bing_cardboard_52,3,1
bing_cardboard_529,3,1
bing_cardboard_531,1,0.5
bing_cardboard_532,1,0.5
bing_cardboard_54,1,0.5
bing_cardboard_541,0,0
bing_cardboard_542,1,0.5
bing_cardboard_543,1,0.5
bing_cardboard_545,3,1
bing_cardboard_547,1,1
bing_cardboard_551,1,1
bing_cardboard_553,1,1
bing_cardboard_557,1,1
bing_cardboard_559,3,1
bing_cardboard_56,1,1
bing_cardboard_560,1,1
bing_cardboard_561,0,0
bing_cardboard_563,1,1
bing_cardboard_573,2,0.5
bing_cardboard_574,1,0.5
bing_cardboard_575,1,1
bing_cardboard_579,1,1
bing_cardboard_58,1,1
bing_cardboard_581,1,1
bing_cardboard_585,1,1
bing_cardboard_587,0,0
bing_cardboard_588,1,1
bing_cardboard_589,1,1
bing_cardboard_59,1,1
bing_cardboard_591,1,0.5
bing_cardboard_593,1,0.5
bing_cardboard_595,1,0.5
bing_cardboard_598,1,1
bing_cardboard_599,3,0.5
bing_cardboard_605,1,1
bing_cardboard_606,1,1
bing_cardboard_61,3,1
bing_cardboard_613,1,1
bing_cardboard_617,0,0
bing_cardboard_618,0,0
bing_cardboard_624,1,0.5
bing_cardboard_625,0,0
bing_cardboard_626,3,1
bing_cardboard_628,1,0.5
bing_cardboard_629,1,0.5
bing_cardboard_63,1,1
bing_cardboard_632,1,1
bing_cardboard_637,0,0
bing_cardboard_639,1,1
bing_cardboard_640,3,1
bing_cardboard_644,0,0
bing_cardboard_645,1,0.5
bing_cardboard_646,1,1
bing_cardboard_647,1,1
bing_cardboard_648,0,0
bing_cardboard_649,2,0.5
bing_cardboard_65,1,1
bing_cardboard_655,1,0.5
bing_cardboard_656,1,1
bing_cardboard_657,2,0.5
bing_cardboard_658,3,1
bing_cardboard_66,1,1
bing_cardboard_661,1,0.5
bing_cardboard_664,1,0.5
bing_cardboard_665,1,0.5
bing_cardboard_666,1,0.5
bing_cardboard_667,1,1
bing_cardboard_668,0,0
bing_cardboard_669,1,0.5
bing_cardboard_67,1,1
bing_cardboard_672,1,1
bing_cardboard_674,0,0
bing_cardboard_676,1,1
bing_cardboard_677,1,0.5
bing_cardboard_678,1,0.5
bing_cardboard_68,1,1
bing_cardboard_680,1,1
bing_cardboard_682,1,1
bing_cardboard_685,1,0.5
bing_cardboard_686,1,1
bing_cardboard_687,1,1
bing_cardboard_69,1,0.5
bing_cardboard_693,1,0.5
bing_cardboard_694,1,0.5
bing_cardboard_696,1,1
bing_cardboard_70,1,0.5
bing_cardboard_703,1,0.5
bing_cardboard_705,1,0.5
bing_cardboard_707,1,1
bing_cardboard_708,3,1
bing_cardboard_71,2,0.5
bing_cardboard_711,1,0.5
bing_cardboard_720,1,0.5
bing_cardboard_722,2,0.5
bing_cardboard_729,2,1
bing_cardboard_730,1,1
bing_cardboard_732,4,1
bing_cardboard_739,1,1
bing_cardboard_74,1,0.5
bing_cardboard_743,1,1
bing_cardboard_747,2,0.5
bing_cardboard_75,3,1
bing_cardboard_751,1,0.5
bing_cardboard_752,1,1
bing_cardboard_754,1,1
bing_cardboard_756,1,0.5
bing_cardboard_757,1,0.5
bing_cardboard_759,1,0.5
bing_cardboard_76,3,1
bing_cardboard_764,0,0
bing_cardboard_775,1,1
bing_cardboard_78,1,0.5
bing_cardboard_79,1,1
bing_cardboard_792,0,0
bing_cardboard_793,1,0.5
bing_cardboard_794,1,0.5
bing_cardboard_795,1,0.5
bing_cardboard_799,1,0.5
bing_cardboard_80,3,1
bing_cardboard_81,1,0.5
bing_cardboard_811,3,1
bing_cardboard_813,1,1
bing_cardboard_818,1,0.5
bing_cardboard_82,1,1
bing_cardboard_83,1,1
bing_cardboard_84,1,1
bing_cardboard_92,1,1
bing_cardboard_99,1,1
bing_carpet_1,3,1
bing_carpet_10,0,0
bing_carpet_100,3,0.5
bing_carpet_101,1,0.5
bing_carpet_102,1,0.5
bing_carpet_103,1,0.5
bing_carpet_104,1,1
bing_carpet_105,1,1
bing_carpet_106,1,1
bing_carpet_107,1,1
bing_carpet_108,1,1
bing_carpet_109,1,1
bing_carpet_11,1,1
bing_carpet_110,1,1
bing_carpet_111,0,0
bing_carpet_112,3,1
bing_carpet_113,3,1
bing_carpet_114,1,1
bing_carpet_115,1,1
bing_carpet_116,2,0.5
bing_carpet_117,1,0.5
bing_carpet_118,1,0.5
bing_carpet_119,3,1
bing_carpet_12,1,1
bing_carpet_120,1,1
bing_carpet_121,1,1
bing_carpet_122,1,1
bing_carpet_123,3,1
bing_carpet_124,1,1
bing_carpet_125,2,1
bing_carpet_126,3,1
bing_carpet_127,1,1
